device,backend,model_id,precision,n,success_rate,mean_load_sec,mean_infer_sec,p50_infer_sec,mean_latency_sec,mean_rtf,p50_rtf,mean_WER,mean_CER,rank_score_fair,rank_score_realtime
gpu,faster_whisper,openai/whisper-base,float16,36,1.0,0.018865651140610378,0.24968950838471451,0.13928390434011817,0.2685551595253249,0.049358071146244714,0.03013720372398897,0.9327441479615393,0.46286621515575965,463.1159046641444,49.82093736140047
gpu,faster_whisper,openai/whisper-base,int8_float16,36,1.0,0.03476162914497157,0.31949358785318005,0.15050549851730466,0.3542552169981516,0.05910998749950374,0.03289146904575843,0.9314289374071983,0.46439559104784006,464.71508463569324,59.57438309055158
gpu,faster_whisper,openai/whisper-large-v3,float16,36,1.0,0.10753080222962631,0.48411380008070004,0.45927324146032333,0.5916446023103263,0.09345764239470922,0.09320192756889237,0.37967654396906875,0.13444970549419122,134.93381929427193,93.5920921002034
gpu,faster_whisper,openai/whisper-large-v3,int8_float16,36,1.0,0.9135363305556692,0.5222231832125949,0.48783112596720457,1.435759513768264,0.1004979699156964,0.09769544247462277,0.3824684380653107,0.13927901790049746,139.80124108371004,100.6372489335969
gpu,faster_whisper,openai/whisper-medium,float16,36,1.0,0.05775969827340709,0.36217639897949994,0.34306316589936614,0.41993609725290704,0.07069566133426858,0.06981709827085136,0.5015234490062865,0.18975545530637036,190.11763170534985,70.88541678957495
gpu,faster_whisper,openai/whisper-medium,int8_float16,36,1.0,0.22686873748898506,0.41032540182479554,0.3805438126437366,0.6371941393137805,0.07859942427041199,0.07795836190721668,0.5097252914472594,0.18906496808810916,189.47529348993396,78.78848923850009
gpu,faster_whisper,openai/whisper-small,float16,36,1.0,0.0979113647610777,0.21766600967384875,0.20399250090122223,0.31557737443492645,0.04235395899781635,0.042124365263419346,0.7589465584984273,0.31469473530121866,314.9124013108925,42.668653733117566
gpu,faster_whisper,openai/whisper-small,int8_float16,36,1.0,0.04809035290963948,0.25866626469521886,0.23914136132225394,0.30675661760485834,0.05026551192381649,0.05078336395950033,0.7447615066798896,0.29638828444713095,296.64695071182615,50.56190020826362
gpu,faster_whisper,openai/whisper-tiny,float16,36,1.0,0.029187125619500875,0.8359310295846727,0.7896401286125183,0.8651181552041736,0.1555128015043221,0.15229568998625093,1.0167502409588605,0.5445589376865017,545.3948687160863,156.0573604420086
gpu,transformers_whisper,openai/whisper-base,fp16,36,1.0,0.16802129653903344,0.39252747693616485,0.35213087731972337,0.5605487734751983,0.07455222134784206,0.0737152774856077,0.9483529219036466,0.4700750864967717,470.46761397370784,75.02229643433884
gpu,transformers_whisper,openai/whisper-large-v3,fp16,36,1.0,0.45275147660221493,1.4294974067403625,1.3051986657083035,1.8822488833425775,0.27140399998054077,0.2701918029347108,0.39352270183696575,0.1424264319428976,143.85592934963796,271.5464264124837
gpu,transformers_whisper,openai/whisper-medium,fp16,36,1.0,0.34381446180244285,1.0728824578691274,0.974588539917022,1.4166969196715702,0.20367567162692157,0.19346309076124657,0.47422328497843375,0.1857584207130452,186.83130317091434,203.86143004763463
gpu,transformers_whisper,openai/whisper-small,fp16,36,1.0,0.83828027259248,0.6189710488025513,0.5656768074259162,1.457251321395031,0.11790989551643521,0.12024753053165653,0.7186518759935998,0.29585221157222735,296.4711826210299,118.20574772800744
gpu,transformers_whisper,openai/whisper-tiny,fp16,36,1.0,0.2937042387978484,0.3720561634335253,0.3235491765663028,0.6657604022313737,0.0708783563621856,0.07009754487920311,0.9858690607355748,0.5083025960677028,508.6746522311363,71.3866589582533
